"lang"
{
	"Language"		"SChinese"
	"Tokens"
	{		
		"addon_game_name"			"幽暗密林肉搏战"

		"ability_is_full"		"技能已达到最大数量"
		"ability_max_level"		"技能已达最大等级"
		"npc_bom_shop_roamer"		"移动商店"

		"spawn_warning"			"地图第一次刷怪，可能稍微有一些卡顿，请见谅。"
		"spawn_ending"			"全图刷怪完成！"
		
		"DOTA_Tooltip_ability_item_zhongji"		"重击"
		"DOTA_Tooltip_ability_item_fensui"		"粉碎"
		"DOTA_Tooltip_ability_item_shanbi"		"闪避"
		"DOTA_Tooltip_ability_item_shengmingqiequ"		"生命窃取"
		"DOTA_Tooltip_ability_item_yinghua"		"硬化皮肤"
		"DOTA_Tooltip_ability_item_jianci"		"尖刺外壳"
		"DOTA_Tooltip_ability_item_ranhui"		"燃烧余烬"
		"DOTA_Tooltip_ability_item_lueduo"		"掠夺"
		"DOTA_Tooltip_ability_item_mofapifu"		"魔法皮肤"
		"DOTA_Tooltip_ability_item_shuxingfujia"		"属性附加"
		"DOTA_Tooltip_ability_item_gongjishengji"		"攻击升级"
		"DOTA_Tooltip_ability_item_fushiguanghuan"		"腐蚀光环"
		"DOTA_Tooltip_ability_item_naijiuguanghuan"		"耐久光环"
		"DOTA_Tooltip_ability_item_xixueguanghuan"		"吸血光环"
		"DOTA_Tooltip_ability_item_zhuanzhuguanghuan"		"专注光环"
		"DOTA_Tooltip_ability_item_jinglingguanghuan"		"精灵光环"
		"DOTA_Tooltip_ability_item_siwangguanghuan"		"死亡光环"
		"DOTA_Tooltip_ability_item_shengminghuifuguanghuan"		"生命恢复光环"
		"DOTA_Tooltip_ability_item_jingjiguanghuan"		"荆棘光环"
		"DOTA_Tooltip_ability_item_xieeguanghuan"		"邪恶光环"
		"DOTA_Tooltip_ability_item_jiansuguanghuan"		"减速光环"
		"DOTA_Tooltip_ability_item_minglingguanghuan"		"命令光环"
		"DOTA_Tooltip_ability_item_qiangjiguanghuan"		"强击光环"

		"DOTA_Tooltip_wa_zhongji"		"效果：重击"
		"DOTA_Tooltip_wa_fensui"		"效果：粉碎"
		"DOTA_Tooltip_wa_shanbi"		"效果：闪避"
		"DOTA_Tooltip_wa_shengmingqiequ"		"效果：生命窃取"
		"DOTA_Tooltip_wa_yinghua"		"效果：硬化皮肤"
		"DOTA_Tooltip_wa_jianci"		"效果：尖刺外壳"
		"DOTA_Tooltip_wa_ranhui"		"效果：燃烧余烬"
		"DOTA_Tooltip_wa_lueduo"		"效果：掠夺"
		"DOTA_Tooltip_wa_mofapifu"		"效果：魔法皮肤"
		"DOTA_Tooltip_wa_shuxingfujia"		"效果：属性附加"
		"DOTA_Tooltip_wa_gongjishengji"		"效果：攻击升级"
		"DOTA_Tooltip_wa_fushiguanghuan"		"光环：腐蚀光环"
		"DOTA_Tooltip_wa_naijiuguanghuan"		"光环：耐久光环"
		"DOTA_Tooltip_wa_xixueguanghuan"		"光环：吸血光环"
		"DOTA_Tooltip_wa_zhuanzhuguanghuan"		"光环：专注光环"
		"DOTA_Tooltip_wa_jinglingguanghuan"		"光环：精灵光环"
		"DOTA_Tooltip_wa_siwangguanghuan"		"光环：死亡光环"
		"DOTA_Tooltip_wa_shengminghuifuguanghuan"		"光环：生命恢复光环"
		"DOTA_Tooltip_wa_jingjiguanghuan"		"光环：荆棘光环"
		"DOTA_Tooltip_wa_xieeguanghuan"		"光环：邪恶光环"
		"DOTA_Tooltip_wa_jiansuguanghuan"		"光环：减速光环"
		"DOTA_Tooltip_wa_minglingguanghuan"		"光环：命令光环"
		"DOTA_Tooltip_wa_qiangjiguanghuan"		"光环：强击光环"

		"DOTA_Tooltip_modifier_zhongji_passive"		"效果：重击"
		"DOTA_Tooltip_modifier_fensui"		"效果：粉碎"
		"DOTA_Tooltip_modifier_shanbi_effect"		"效果：闪避"
		"DOTA_Tooltip_modifier_shengmingqiequ"		"效果：生命窃取"
		"DOTA_Tooltip_modifier_yinghua"		"效果：硬化皮肤"
		"DOTA_Tooltip_modifier_jianci_armor"		"效果：尖刺外壳"
		"DOTA_Tooltip_modifier_ranhui"		"效果：燃烧余烬"
		"DOTA_Tooltip_modifier_lueduo"		"效果：掠夺"
		"DOTA_Tooltip_modifier_mofapifu"		"效果：魔法皮肤"
		"DOTA_Tooltip_modifier_shuxingfujia"		"效果：属性附加"
		"DOTA_Tooltip_modifier_gongjishengji"		"效果：攻击升级"
		"DOTA_Tooltip_modifier_fushiguanghuan"		"光环：腐蚀光环·护甲降低"
		"DOTA_Tooltip_modifier_naijiuguanghuan"		"光环：耐久光环·移动速度"
		"DOTA_Tooltip_modifier_naijiuguanghuan1"		"光环：耐久光环·攻击速度"
		"DOTA_Tooltip_modifier_xixueguanghuan"		"光环：吸血光环·吸血百分比"
		"DOTA_Tooltip_modifier_zhuanzhuguanghuan"		"光环：专注光环·护甲提升"
		"DOTA_Tooltip_modifier_jinglingguanghuan"		"光环：精灵光环·攻击降低"
		"DOTA_Tooltip_modifier_siwangguanghuan"		"光环：死亡光环"
		"DOTA_Tooltip_modifier_shengminghuifuguanghuan"		"光环：生命恢复光环"
		"DOTA_Tooltip_modifier_jingjiguanghuan"		"光环：荆棘光环"
		"DOTA_Tooltip_modifier_xieeguanghuan"		"光环：邪恶光环·生命恢复"
		"DOTA_Tooltip_modifier_xieeguanghuan1"		"光环：邪恶光环·移动速度"
		"DOTA_Tooltip_modifier_jiansuguanghuan"		"光环：减速光环·移动速度"
		"DOTA_Tooltip_modifier_minglingguanghuan"		"光环：命令光环·攻击力"
		"DOTA_Tooltip_modifier_qiangjiguanghuan"		"光环：强击光环·攻击力"

		"DOTA_Tooltip_ability_zhongji"													"重击"
		"DOTA_Tooltip_ability_zhongji_Description"										"<font size='10'color='#FADC32'>攻击有一定概率造成额外伤害并击晕敌人。</font>\n\n重击概率：<font size='10'color='#576AFF'>15</font>\n重击额外伤害：<font size='10'color='#576AFF'>技能等级*80</font>\n眩晕持续时间：<font size='10'color='#576AFF'>0.5(近战)/0.3(远程)</font>"
		"DOTA_Tooltip_ability_fensui"													"粉碎"
		"DOTA_Tooltip_ability_fensui_Description"										"<font size='10'color='#FADC32'>攻击有一定概率造成范围额外伤害。</font>\n\n溅射范围：<font size='10'color='#576AFF'>500</font>\n溅射伤害：<font size='10'color='#576AFF'>技能等级*60</font>\n粉碎概率：<font size='10'color='#576AFF'>15</font>"
		"DOTA_Tooltip_ability_shanbi"													"闪避"
		"DOTA_Tooltip_ability_shanbi_Description"										"<font size='10'color='#FADC32'>增加闪避概率。</font>\n\n闪避概率：<font size='10'color='#576AFF'>5+技能等级*1.5</font>"
		"DOTA_Tooltip_ability_shengmingqiequ"											"生命窃取"
		"DOTA_Tooltip_ability_shengmingqiequ_Description"								"<font size='10'color='#FADC32'>攻击吸血</font>\n生命窃取百分比：<font size='10'color='#576AFF'>5+技能等级*5</font>"
		"DOTA_Tooltip_ability_yinghua"													"硬化皮肤"
		"DOTA_Tooltip_ability_yinghua_Description"										"<font size='10'color='#FADC32'>在受到攻击时有一定概率免疫一定伤害。</font>\n\n阻挡伤害：<font size='10'color='#576AFF'>技能等级*5</font>\n最低伤害：<font size='10'color='#576AFF'>技能等级*3</font>"
		"DOTA_Tooltip_ability_jianci"													"尖刺外壳"
		"DOTA_Tooltip_ability_jianci_Description"										"<font size='10'color='#FADC32'>增加一定的基础护甲,在受到攻击时可以反弹一部分伤害。</font>\n\n增加护甲：<font size='10'color='#576AFF'>技能等级*2</font>\n伤害反弹百分比：<font size='10'color='#576AFF'>5+技能等级*1.5</font>"
		"DOTA_Tooltip_ability_ranhui"													"(这个技能不做)燃烧余烬"
		"DOTA_Tooltip_ability_ranhui_Description"										"<font size='10'color='#FADC32'>在攻击时能够叠加伤害，当伤害达到一定次数时，将会爆炸对周围单位造成额外伤害。"
		"DOTA_Tooltip_ability_lueduo"													"掠夺"
		"DOTA_Tooltip_ability_lueduo_Description"										"<font size='10'color='#FADC32'>在攻击时能偷取一定数量金钱。</font>\n\n掠夺金钱比例：<font size='10'color='#576AFF'>5+技能等级*3</font>"
		"DOTA_Tooltip_ability_mofapifu"													"(这个技能不做)魔法皮肤"
		"DOTA_Tooltip_ability_mofapifu_Description"										"<font size='10'color='#FADC32'>提升一定魔法抗性。</font>\n\n魔法抗性提升：<font size='10'color='#576AFF'>"
		"DOTA_Tooltip_ability_shuxingfujia"												"属性附加"
